Issue Type,Issue ID,Summary,Description,Epic Link,Parent,Priority,Story Points,Sprint,Labels,Component
Task,CS-M02-S01-T02,Migration initiale seed admin,Sub-task of CS-M02-S01. Est: 1h,CS-EP-02,CS-M02-S01,Highest,1,S1,"M02,backend",M02
Task,CS-M02-S01-T03,PrismaService Nest module,Sub-task of CS-M02-S01. Est: 1h,CS-EP-02,CS-M02-S01,Highest,1,S1,"M02,backend",M02
Story,CS-M02-S02,Envoi OTP SMS,Module M02. Story Points: 5,CS-EP-02,,Highest,5,S2,"M02,api",M02
Task,CS-M02-S02-T01,Intégration Twilio/Brevo SMS,Sub-task of CS-M02-S02. Est: 2h,CS-EP-02,CS-M02-S02,Highest,2,S2,"M02,backend",M02
Task,CS-M02-S02-T02,Cache OTP hash TTL 5min,Sub-task of CS-M02-S02. Est: 1h,CS-EP-02,CS-M02-S02,Highest,1,S2,"M02,backend",M02
Task,CS-M02-S02-T03,Rate limit Redis RG-SEC,Sub-task of CS-M02-S02. Est: 2h,CS-EP-02,CS-M02-S02,Highest,2,S2,"M02,backend",M02
Story,CS-M02-S03,Vérification OTP + JWT,Module M02. Story Points: 5,CS-EP-02,,Highest,5,S2,"M02,api",M02
Task,CS-M02-S03-T01,POST /auth/otp/verify,Sub-task of CS-M02-S03. Est: 2h,CS-EP-02,CS-M02-S03,Highest,2,S2,"M02,backend",M02
Task,CS-M02-S03-T02,Génération access refresh JWT,Sub-task of CS-M02-S03. Est: 2h,CS-EP-02,CS-M02-S03,Highest,2,S2,"M02,backend",M02
Task,CS-M02-S03-T03,Création auto client_profile,Sub-task of CS-M02-S03. Est: 1h,CS-EP-02,CS-M02-S03,Highest,1,S2,"M02,backend",M02
Story,CS-M02-S04,Refresh token + logout,Module M02. Story Points: 3,CS-EP-02,,Highest,3,S2,"M02,api",M02
Task,CS-M02-S04-T01,POST /auth/refresh rotation,Sub-task of CS-M02-S04. Est: 2h,CS-EP-02,CS-M02-S04,Highest,2,S2,"M02,backend",M02
Task,CS-M02-S04-T02,POST /auth/logout revoke,Sub-task of CS-M02-S04. Est: 1h,CS-EP-02,CS-M02-S04,Highest,1,S2,"M02,backend",M02
Story,CS-M02-S05,Guards rôles client provider admin,Module M02. Story Points: 3,CS-EP-02,,Highest,3,S2,"M02,api",M02
Task,CS-M02-S05-T01,JwtAuthGuard RolesGuard decorators,Sub-task of CS-M02-S05. Est: 3h,CS-EP-02,CS-M02-S05,Highest,3,S2,"M02,backend",M02
Story,CS-M02-S06,Endpoint GET /auth/me,Module M02. Story Points: 2,CS-EP-02,,Highest,2,S2,"M02,api",M02
Task,CS-M02-S06-T01,GET /auth/me profil selon rôle,Sub-task of CS-M02-S06. Est: 2h,CS-EP-02,CS-M02-S06,Highest,2,S2,"M02,backend",M02
Story,CS-M03-S01,Schéma Prisma catalog,Module M03. Story Points: 3,CS-EP-03,,Highest,3,S2,"M03,api",M03
Task,CS-M03-S01-T01,Models categories offers options,Sub-task of CS-M03-S01. Est: 2h,CS-EP-03,CS-M03-S01,Highest,2,S2,"M03,backend",M03
Task,CS-M03-S01-T02,Migration catalog,Sub-task of CS-M03-S01. Est: 1h,CS-EP-03,CS-M03-S01,Highest,1,S2,"M03,backend",M03
Story,CS-M03-S02,Schéma zones PostGIS,Module M03. Story Points: 5,CS-EP-03,,Highest,5,S2,"M03,api",M03
Task,CS-M03-S02-T01,Extension PostGIS migration,Sub-task of CS-M03-S02. Est: 1h,CS-EP-03,CS-M03-S02,Highest,1,S2,"M03,backend",M03
Task,CS-M03-S02-T02,Model service_zones polygon,Sub-task of CS-M03-S02. Est: 2h,CS-EP-03,CS-M03-S02,Highest,2,S2,"M03,backend",M03
Task,CS-M03-S02-T03,Model zone_pricing,Sub-task of CS-M03-S02. Est: 2h,CS-EP-03,CS-M03-S02,Highest,2,S2,"M03,backend",M03
Story,CS-M03-S03,GET catalog offres par zone,Module M03. Story Points: 3,CS-EP-03,,Highest,3,S3,"M03,api",M03
Task,CS-M03-S03-T01,GET /catalog/categories,Sub-task of CS-M03-S03. Est: 1h,CS-EP-03,CS-M03-S03,Highest,1,S3,"M03,backend",M03
Task,CS-M03-S03-T02,GET /catalog/offers?zone=,Sub-task of CS-M03-S03. Est: 2h,CS-EP-03,CS-M03-S03,Highest,2,S3,"M03,backend",M03
Story,CS-M03-S04,POST /catalog/quote calcul prix,Module M03. Story Points: 5,CS-EP-03,,Highest,5,S3,"M03,api",M03
Task,CS-M03-S04-T01,PricingService RG-CAT-02,Sub-task of CS-M03-S04. Est: 2h,CS-EP-03,CS-M03-S04,Highest,2,S3,"M03,backend",M03
Task,CS-M03-S04-T02,Tests unitaires pricing,Sub-task of CS-M03-S04. Est: 2h,CS-EP-03,CS-M03-S04,Highest,2,S3,"M03,backend",M03
Task,CS-M03-S04-T03,Endpoint + Zod validation,Sub-task of CS-M03-S04. Est: 1h,CS-EP-03,CS-M03-S04,Highest,1,S3,"M03,backend",M03
Story,CS-M03-S05,POST /zones/check couverture,Module M03. Story Points: 5,CS-EP-03,,Highest,5,S3,"M03,api",M03
Task,CS-M03-S05-T01,GeoService point-in-polygon,Sub-task of CS-M03-S05. Est: 3h,CS-EP-03,CS-M03-S05,Highest,3,S3,"M03,backend",M03
Task,CS-M03-S05-T02,Endpoint /zones/check,Sub-task of CS-M03-S05. Est: 1h,CS-EP-03,CS-M03-S05,Highest,1,S3,"M03,backend",M03
Task,CS-M03-S05-T03,Tests polygone Lyon,Sub-task of CS-M03-S05. Est: 1h,CS-EP-03,CS-M03-S05,Highest,1,S3,"M03,backend",M03
Story,CS-M03-S06,POST /zones/leads hors zone,Module M03. Story Points: 2,CS-EP-03,,High,2,S3,"M03,api",M03
Task,CS-M03-S06-T01,Model out_of_zone_leads + endpoint,Sub-task of CS-M03-S06. Est: 2h,CS-EP-03,CS-M03-S06,High,2,S3,"M03,backend",M03
Story,CS-M03-S07,Seed Lyon 4 formules zone,Module M03. Story Points: 3,CS-EP-03,,Highest,3,S3,"M03,api",M03
Task,CS-M03-S07-T01,prisma/seed.ts catalog + zone Lyon,Sub-task of CS-M03-S07. Est: 3h,CS-EP-03,CS-M03-S07,Highest,3,S3,"M03,backend",M03
Story,CS-M04-S01,CRUD profil pro,Module M04. Story Points: 3,CS-EP-04,,Highest,3,S3,"M04,api",M04
Task,CS-M04-S01-T01,GET PATCH /providers/me,Sub-task of CS-M04-S01. Est: 3h,CS-EP-04,CS-M04-S01,Highest,3,S3,"M04,backend",M04
Story,CS-M04-S02,Wizard KYC submit documents,Module M04. Story Points: 8,CS-EP-04,,Highest,8,S4,"M04,api",M04
Task,CS-M04-S02-T01,Model provider_kyc_documents,Sub-task of CS-M04-S02. Est: 1h,CS-EP-04,CS-M04-S02,Highest,1,S4,"M04,backend",M04
Task,CS-M04-S02-T02,POST /providers/kyc/submit,Sub-task of CS-M04-S02. Est: 2h,CS-EP-04,CS-M04-S02,Highest,2,S4,"M04,backend",M04
Task,CS-M04-S02-T03,Validation SIRET,Sub-task of CS-M04-S02. Est: 1h,CS-EP-04,CS-M04-S02,Highest,1,S4,"M04,backend",M04
Task,CS-M04-S02-T04,State machine kyc_status,Sub-task of CS-M04-S02. Est: 2h,CS-EP-04,CS-M04-S02,Highest,2,S4,"M04,backend",M04
Task,CS-M04-S02-T05,Tests RG-KYC-01,Sub-task of CS-M04-S02. Est: 2h,CS-EP-04,CS-M04-S02,Highest,2,S4,"M04,backend",M04
Story,CS-M04-S03,Capabilities formules pro,Module M04. Story Points: 3,CS-EP-04,,Highest,3,S4,"M04,api",M04
Task,CS-M04-S03-T01,GET PUT /providers/capabilities,Sub-task of CS-M04-S03. Est: 3h,CS-EP-04,CS-M04-S03,Highest,3,S4,"M04,backend",M04
Story,CS-M04-S04,Disponibilités hebdomadaires,Module M04. Story Points: 5,CS-EP-04,,Highest,5,S4,"M04,api",M04
Task,CS-M04-S04-T01,Model provider_availability,Sub-task of CS-M04-S04. Est: 1h,CS-EP-04,CS-M04-S04,Highest,1,S4,"M04,backend",M04
Task,CS-M04-S04-T02,GET PUT /providers/availability,Sub-task of CS-M04-S04. Est: 2h,CS-EP-04,CS-M04-S04,Highest,2,S4,"M04,backend",M04
Task,CS-M04-S04-T03,Blocked slots,Sub-task of CS-M04-S04. Est: 2h,CS-EP-04,CS-M04-S04,Highest,2,S4,"M04,backend",M04
Story,CS-M04-S05,Zones intervention pro,Module M04. Story Points: 5,CS-EP-04,,Highest,5,S4,"M04,api",M04
Task,CS-M04-S05-T01,Model provider_zones,Sub-task of CS-M04-S05. Est: 1h,CS-EP-04,CS-M04-S05,Highest,1,S4,"M04,backend",M04
Task,CS-M04-S05-T02,API zones + rayon,Sub-task of CS-M04-S05. Est: 2h,CS-EP-04,CS-M04-S05,Highest,2,S4,"M04,backend",M04
Task,CS-M04-S05-T03,Base address pro,Sub-task of CS-M04-S05. Est: 2h,CS-EP-04,CS-M04-S05,Highest,2,S4,"M04,backend",M04
Story,CS-M04-S06,Stripe Connect onboarding link,Module M04. Story Points: 5,CS-EP-04,,Highest,5,S4,"M04,api",M04
Task,CS-M04-S06-T01,POST /providers/stripe/onboard,Sub-task of CS-M04-S06. Est: 3h,CS-EP-04,CS-M04-S06,Highest,3,S4,"M04,backend",M04
Task,CS-M04-S06-T02,Store stripe_account_id,Sub-task of CS-M04-S06. Est: 2h,CS-EP-04,CS-M04-S06,Highest,2,S4,"M04,backend",M04
Story,CS-M04-S07,Blocage si KYC non approved,Module M04. Story Points: 3,CS-EP-04,,Highest,3,S4,"M04,api",M04
Task,CS-M04-S07-T01,Guard missions KYC approved,Sub-task of CS-M04-S07. Est: 3h,CS-EP-04,CS-M04-S07,Highest,3,S4,"M04,backend",M04
Story,CS-M04-S08,Alerte expiration RC Pro,Module M04. Story Points: 2,CS-EP-04,,High,2,S4,"M04,api",M04
Task,CS-M04-S08-T01,Job check expiry J-30,Sub-task of CS-M04-S08. Est: 2h,CS-EP-04,CS-M04-S08,High,2,S4,"M04,backend",M04
Story,CS-M05-S01,Schéma Prisma bookings,Module M05. Story Points: 5,CS-EP-05,,Highest,5,S4,"M05,api",M05
Task,CS-M05-S01-T01,Models bookings items history,Sub-task of CS-M05-S01. Est: 3h,CS-EP-05,CS-M05-S01,Highest,3,S4,"M05,backend",M05
Task,CS-M05-S01-T02,Migration bookings,Sub-task of CS-M05-S01. Est: 2h,CS-EP-05,CS-M05-S01,Highest,2,S4,"M05,backend",M05
Story,CS-M05-S02,BookingStateMachine RG-BOOK,Module M05. Story Points: 8,CS-EP-05,,Highest,8,S5,"M05,api",M05
Task,CS-M05-S02-T01,Map transitions autorisées,Sub-task of CS-M05-S02. Est: 2h,CS-EP-05,CS-M05-S02,Highest,2,S5,"M05,backend",M05
Task,CS-M05-S02-T02,Guard canTransition,Sub-task of CS-M05-S02. Est: 3h,CS-EP-05,CS-M05-S02,Highest,3,S5,"M05,backend",M05
Task,CS-M05-S02-T03,booking_status_history,Sub-task of CS-M05-S02. Est: 1h,CS-EP-05,CS-M05-S02,Highest,1,S5,"M05,backend",M05
Task,CS-M05-S02-T04,Tests transitions,Sub-task of CS-M05-S02. Est: 2h,CS-EP-05,CS-M05-S02,Highest,2,S5,"M05,backend",M05
Story,CS-M05-S03,POST /bookings création snapshot,Module M05. Story Points: 8,CS-EP-05,,Highest,8,S5,"M05,api",M05
Task,CS-M05-S03-T01,Create booking + pricing snapshot,Sub-task of CS-M05-S03. Est: 3h,CS-EP-05,CS-M05-S03,Highest,3,S5,"M05,backend",M05
Task,CS-M05-S03-T02,Idempotency-Key header,Sub-task of CS-M05-S03. Est: 2h,CS-EP-05,CS-M05-S03,Highest,2,S5,"M05,backend",M05
Task,CS-M05-S03-T03,Tests intégration create,Sub-task of CS-M05-S03. Est: 3h,CS-EP-05,CS-M05-S03,Highest,3,S5,"M05,backend",M05
Story,CS-M05-S04,MatchingService broadcast pros,Module M05. Story Points: 8,CS-EP-05,,Highest,8,S5,"M05,api",M05
Task,CS-M05-S04-T01,Filter eligible pros,Sub-task of CS-M05-S04. Est: 3h,CS-EP-05,CS-M05-S04,Highest,3,S5,"M05,backend",M05
Task,CS-M05-S04-T02,Score distance rating,Sub-task of CS-M05-S04. Est: 2h,CS-EP-05,CS-M05-S04,Highest,2,S5,"M05,backend",M05
Task,CS-M05-S04-T03,Job broadcast push,Sub-task of CS-M05-S04. Est: 2h,CS-EP-05,CS-M05-S04,Highest,2,S5,"M05,backend",M05
Task,CS-M05-S04-T04,Lock premier accept,Sub-task of CS-M05-S04. Est: 1h,CS-EP-05,CS-M05-S04,Highest,1,S5,"M05,backend",M05
Story,CS-M05-S05,Accept decline mission pro,Module M05. Story Points: 5,CS-EP-05,,Highest,5,S5,"M05,api",M05
Task,CS-M05-S05-T01,POST accept exclusive lock,Sub-task of CS-M05-S05. Est: 3h,CS-EP-05,CS-M05-S05,Highest,3,S5,"M05,backend",M05
Task,CS-M05-S05-T02,POST decline + motif,Sub-task of CS-M05-S05. Est: 2h,CS-EP-05,CS-M05-S05,Highest,2,S5,"M05,backend",M05
Story,CS-M05-S06,Transitions en_route in_progress completed,Module M05. Story Points: 5,CS-EP-05,,Highest,5,S6,"M05,api",M05
Task,CS-M05-S06-T01,PATCH /bookings/:id/status,Sub-task of CS-M05-S06. Est: 3h,CS-EP-05,CS-M05-S06,Highest,3,S6,"M05,backend",M05
Task,CS-M05-S06-T02,Validation photos min clôture,Sub-task of CS-M05-S06. Est: 2h,CS-EP-05,CS-M05-S06,Highest,2,S6,"M05,backend",M05
Story,CS-M05-S07,Jobs BullMQ timeout T1 T2,Module M05. Story Points: 5,CS-EP-05,,Highest,5,S6,"M05,api",M05
Task,CS-M05-S07-T01,Queue matching jobs,Sub-task of CS-M05-S07. Est: 2h,CS-EP-05,CS-M05-S07,Highest,2,S6,"M05,backend",M05
Task,CS-M05-S07-T02,Job expand-radius T1 30min,Sub-task of CS-M05-S07. Est: 2h,CS-EP-05,CS-M05-S07,Highest,2,S6,"M05,backend",M05
Task,CS-M05-S07-T03,Job unassigned T2 2h,Sub-task of CS-M05-S07. Est: 1h,CS-EP-05,CS-M05-S07,Highest,1,S6,"M05,backend",M05
Story,CS-M05-S08,Annulation RG-CANCEL,Module M05. Story Points: 5,CS-EP-05,,Highest,5,S6,"M05,api",M05
Task,CS-M05-S08-T01,PATCH cancel client rules,Sub-task of CS-M05-S08. Est: 3h,CS-EP-05,CS-M05-S08,Highest,3,S6,"M05,backend",M05
Task,CS-M05-S08-T02,PATCH cancel provider rules,Sub-task of CS-M05-S08. Est: 2h,CS-EP-05,CS-M05-S08,Highest,2,S6,"M05,backend",M05
Story,CS-M05-S09,GET bookings list detail timeline,Module M05. Story Points: 3,CS-EP-05,,Highest,3,S6,"M05,api",M05
Task,CS-M05-S09-T01,GET /bookings GET /bookings/:id,Sub-task of CS-M05-S09. Est: 3h,CS-EP-05,CS-M05-S09,Highest,3,S6,"M05,backend",M05
Story,CS-M05-S10,API créneaux disponibles slot picker,Module M05. Story Points: 5,CS-EP-05,,Highest,5,S5,"M05,api",M05
Task,CS-M05-S10-T01,SlotService capacité zone,Sub-task of CS-M05-S10. Est: 3h,CS-EP-05,CS-M05-S10,Highest,3,S5,"M05,backend",M05
Task,CS-M05-S10-T02,Endpoint slots J+14,Sub-task of CS-M05-S10. Est: 2h,CS-EP-05,CS-M05-S10,Highest,2,S5,"M05,backend",M05
Story,CS-M06-S01,Schéma Prisma payments,Module M06. Story Points: 2,CS-EP-06,,Highest,2,S5,"M06,api",M06
Task,CS-M06-S01-T01,Model payments,Sub-task of CS-M06-S01. Est: 2h,CS-EP-06,CS-M06-S01,Highest,2,S5,"M06,backend",M06
Story,CS-M06-S02,PaymentIntent manual capture booking,Module M06. Story Points: 5,CS-EP-06,,Highest,5,S5,"M06,api",M06
Task,CS-M06-S02-T01,Create PI on booking,Sub-task of CS-M06-S02. Est: 3h,CS-EP-06,CS-M06-S02,Highest,3,S5,"M06,backend",M06
Task,CS-M06-S02-T02,Return clientSecret mobile,Sub-task of CS-M06-S02. Est: 2h,CS-EP-06,CS-M06-S02,Highest,2,S5,"M06,backend",M06
Story,CS-M06-S03,Capture completed + commission,Module M06. Story Points: 5,CS-EP-06,,Highest,5,S5,"M06,api",M06
Task,CS-M06-S03-T01,Capture on completed,Sub-task of CS-M06-S03. Est: 3h,CS-EP-06,CS-M06-S03,Highest,3,S5,"M06,backend",M06
Task,CS-M06-S03-T02,application_fee calculation,Sub-task of CS-M06-S03. Est: 2h,CS-EP-06,CS-M06-S03,Highest,2,S5,"M06,backend",M06
Story,CS-M06-S04,Webhook Stripe idempotent,Module M06. Story Points: 5,CS-EP-06,,Highest,5,S6,"M06,api",M06
Task,CS-M06-S04-T01,POST /webhooks/stripe verify sig,Sub-task of CS-M06-S04. Est: 2h,CS-EP-06,CS-M06-S04,Highest,2,S6,"M06,backend",M06
Task,CS-M06-S04-T02,Queue process webhook,Sub-task of CS-M06-S04. Est: 2h,CS-EP-06,CS-M06-S04,Highest,2,S6,"M06,backend",M06
Task,CS-M06-S04-T03,Store event IDs,Sub-task of CS-M06-S04. Est: 1h,CS-EP-06,CS-M06-S04,Highest,1,S6,"M06,backend",M06
Story,CS-M06-S05,Refund admin annulation auth,Module M06. Story Points: 3,CS-EP-06,,High,3,S6,"M06,api",M06
Task,CS-M06-S05-T01,Refund + cancel PI endpoints,Sub-task of CS-M06-S05. Est: 3h,CS-EP-06,CS-M06-S05,High,3,S6,"M06,backend",M06
Story,CS-M06-S06,Sync stripe charges_enabled,Module M06. Story Points: 3,CS-EP-06,,Highest,3,S6,"M06,api",M06
Task,CS-M06-S06-T01,Webhook account.updated sync,Sub-task of CS-M06-S06. Est: 3h,CS-EP-06,CS-M06-S06,Highest,3,S6,"M06,backend",M06
Story,CS-M07-S01,Config S3 Scaleway R2,Module M07. Story Points: 3,CS-EP-07,,Highest,3,S6,"M07,api",M07
Task,CS-M07-S01-T01,S3 module Nest config,Sub-task of CS-M07-S01. Est: 3h,CS-EP-07,CS-M07-S01,Highest,3,S6,"M07,backend",M07
Story,CS-M07-S02,POST /media/upload-url presigned,Module M07. Story Points: 5,CS-EP-07,,Highest,5,S6,"M07,api",M07
Task,CS-M07-S02-T01,S3 client presigned PUT,Sub-task of CS-M07-S02. Est: 2h,CS-EP-07,CS-M07-S02,Highest,2,S6,"M07,backend",M07
Task,CS-M07-S02-T02,MIME whitelist max size,Sub-task of CS-M07-S02. Est: 2h,CS-EP-07,CS-M07-S02,Highest,2,S6,"M07,backend",M07
Task,CS-M07-S02-T03,Endpoint upload-url,Sub-task of CS-M07-S02. Est: 1h,CS-EP-07,CS-M07-S02,Highest,1,S6,"M07,backend",M07
Story,CS-M07-S03,POST /media/confirm link booking,Module M07. Story Points: 3,CS-EP-07,,Highest,3,S6,"M07,api",M07
Task,CS-M07-S03-T01,Model booking_photos confirm,Sub-task of CS-M07-S03. Est: 3h,CS-EP-07,CS-M07-S03,Highest,3,S6,"M07,backend",M07
Story,CS-M07-S04,Validation min photos clôture,Module M07. Story Points: 2,CS-EP-07,,Highest,2,S6,"M07,api",M07
Task,CS-M07-S04-T01,Check 2 before 2 after RG-BOOK-04,Sub-task of CS-M07-S04. Est: 2h,CS-EP-07,CS-M07-S04,Highest,2,S6,"M07,backend",M07
Story,CS-M08-S01,POST /reviews rating pro,Module M08. Story Points: 3,CS-EP-08,,High,3,S7,"M08,api",M08
Task,CS-M08-S01-T01,Create review update rating_avg,Sub-task of CS-M08-S01. Est: 3h,CS-EP-08,CS-M08-S01,High,3,S7,"M08,backend",M08
Story,CS-M08-S02,POST /disputes freeze payout,Module M08. Story Points: 5,CS-EP-08,,High,5,S7,"M08,api",M08
Task,CS-M08-S02-T01,Create dispute freeze payment,Sub-task of CS-M08-S02. Est: 3h,CS-EP-08,CS-M08-S02,High,3,S7,"M08,backend",M08
